period,sp500_return,bond_yield_10y,vix,oil_price,fx_dxy,returns
92,0.011278,2.6465,19.9274,71.5692,97.8215,-0.001101
93,0.015779,2.6628,22.3217,71.2012,98.845,0.012364
94,0.002669,2.517,19.5616,74.1475,97.6387,0.00015
95,0.012575,2.437,25.8078,76.5288,97.5053,-0.005268
96,-0.002518,2.4109,21.6935,70.9447,97.9099,0.003072
97,-0.011683,2.3992,19.5803,76.387,97.9175,0.001007
98,0.002875,2.3455,23.9058,75.2557,97.4832,-0.00177
99,-0.001324,2.3251,23.704,75.8044,98.2037,0.002069
100,-0.011586,2.3581,22.5143,75.9412,99.0271,-0.008445
101,0.015674,2.2689,19.5837,77.7575,97.872,0.00166
102,-0.018889,2.1926,23.9697,78.6088,97.9906,-0.016892
103,-0.010255,2.1223,20.4698,78.1234,98.1392,-0.010168
104,-0.001953,2.0781,22.1812,79.5516,98.2597,-0.001829
105,-0.017572,2.0672,22.3126,80.0704,97.5939,-0.010966
106,0.013871,2.0512,21.0619,80.0557,98.381,0.007822
107,0.001397,2.0462,19.1126,79.3478,98.8367,-0.000405
108,-0.001254,1.9971,21.6234,78.4959,98.7572,-0.006698
109,-0.011036,2.0198,19.6392,80.3489,98.8795,-0.007818
110,0.005473,1.9568,21.1989,80.9254,98.7345,0.001638
111,-0.008042,1.9836,18.9719,79.9712,98.6384,-0.009584
112,0.002592,1.9681,15.0902,79.7402,97.9189,0.007065
113,0.009972,2.0077,14.5729,78.4755,98.677,-0.001396
114,0.002585,2.0562,15.2696,79.0229,98.8894,0.005464
115,0.012636,2.0413,13.8898,78.8938,98.9714,0.016413
116,-0.002923,2.0096,12.9606,76.2134,99.1154,-0.002417
117,-0.012969,1.9898,11.9635,79.935,98.5463,-0.008004
118,0.002561,2.1019,14.64,79.8715,99.1571,-0.00061
119,-0.000762,2.1783,12.2719,76.238,99.6933,0.002949
120,-0.003902,2.1917,15.254,78.3803,99.2126,0.003486
